length,ngrams,text_extraction,models,accuracy,f1,roc_auc
,"(1,3)",Bag-of-Words,Logistic Regression,0.85163,0.85108,0.93696
,"(1,2)",Bag-of-Words,Logistic Regression,0.85051,0.85016,0.9358
MinMaxScaler,"(1,3)",Bag-of-Words,Logistic Regression,0.84992,0.84927,0.93585
StandardScaler,"(1,3)",Bag-of-Words,Logistic Regression,0.84875,0.84842,0.93525
MinMaxScaler,"(1,2)",Bag-of-Words,Logistic Regression,0.84866,0.84829,0.93454
StandardScaler,"(1,2)",Bag-of-Words,Logistic Regression,0.84523,0.84698,0.9341
,"(1,1)",Bag-of-Words,Logistic Regression,0.83273,0.83382,0.92026
MinMaxScaler,"(1,1)",Bag-of-Words,Logistic Regression,0.83142,0.83238,0.91851
MinMaxScaler,"(2,3)",Bag-of-Words,Logistic Regression,0.80238,0.78401,0.88636
StandardScaler,"(1,1)",Bag-of-Words,Logistic Regression,0.80238,0.83546,0.88578
MinMaxScaler,"(2,2)",Bag-of-Words,Logistic Regression,0.8008,0.78351,0.88479
,"(2,3)",Bag-of-Words,Logistic Regression,0.78408,0.76056,0.85897
,"(2,2)",Bag-of-Words,Logistic Regression,0.78208,0.75988,0.85695
MinMaxScaler,"(3,3)",Bag-of-Words,Logistic Regression,0.71174,0.62287,0.79786
,"(3,3)",Bag-of-Words,Logistic Regression,0.70961,0.62086,0.72905
