length_used,ngrams,text_extraction,model,accuracy,f1,roc_auc
,"(1, 1)",Word2Vec,LogisticRegression,0.8656510308177447,0.8661630975969314,0.9285906274342616
,"(1, 1)",Word2Vec,LightGBM,0.8590224824695056,0.8607583528224559,0.9382556413095116
,"(1, 1)",Word2Vec,Catboost,0.869880281960883,0.8711442788271029,0.9461818161410644
,"(1, 1)",Word2Vec,XGBoost,0.8629551017057542,0.8635403468265258,0.9412461554306712
,"(1, 1)",Word2Vec,AdaBoost,0.8025078220432441,0.8008562364101188,0.8838836601822246
,"(1, 1)",Word2Vec,KNN,0.8050060770912028,0.8164025495188534,0.8710799596140564
,"(1, 1)",Word2Vec,SVM,0.5215921639457568,0.6629748700782632,0.7603911623171142
MinMaxScaler,"(1, 1)",Word2Vec,LogisticRegression,0.8668381426192482,0.8671108637789082,0.928975535501086
MinMaxScaler,"(1, 1)",Word2Vec,LightGBM,0.8790561559684488,0.8790685521060272,0.953659937718599
MinMaxScaler,"(1, 1)",Word2Vec,Catboost,0.8933517701892733,0.8929857168566562,0.9617368651566836
MinMaxScaler,"(1, 1)",Word2Vec,XGBoost,0.8817767763697418,0.88103497980988,0.9559548492725676
MinMaxScaler,"(1, 1)",Word2Vec,AdaBoost,0.8085922872951556,0.8049781080577411,0.8908273434029592
MinMaxScaler,"(1, 1)",Word2Vec,KNN,0.8118322138654083,0.823938527408826,0.8828847039871789
MinMaxScaler,"(1, 1)",Word2Vec,SVM,0.6658599173513149,0.7313894093361911,0.8413829401360609
StandardScaler,"(1, 1)",Word2Vec,LogisticRegression,0.8668628767275836,0.8671180570028165,0.9289779462652544
StandardScaler,"(1, 1)",Word2Vec,LightGBM,0.8792540349521364,0.879150574165617,0.9537061079364186
StandardScaler,"(1, 1)",Word2Vec,Catboost,0.8933517701892733,0.8929857168566562,0.9617368651566836
StandardScaler,"(1, 1)",Word2Vec,XGBoost,0.8817767763697418,0.88103497980988,0.9559548492725676
StandardScaler,"(1, 1)",Word2Vec,AdaBoost,0.8085922872951556,0.8049781080577411,0.8908273434029592
StandardScaler,"(1, 1)",Word2Vec,KNN,0.8298377363583839,0.8363424967607704,0.90489430082602
StandardScaler,"(1, 1)",Word2Vec,SVM,0.7006337828526352,0.7593404676884388,0.8758401812067392
,"(1, 2)",Word2Vec,LogisticRegression,0.880589502467615,0.8822763755323727,0.940606228094399
,"(1, 2)",Word2Vec,LightGBM,0.8699048692611064,0.8750069815070962,0.9514422852283352
,"(1, 2)",Word2Vec,Catboost,0.8870695115917393,0.8890205802629202,0.9574313703209574
,"(1, 2)",Word2Vec,XGBoost,0.866664750005207,0.870921791972606,0.9468185013382506
,"(1, 2)",Word2Vec,AdaBoost,0.8188808322160369,0.828889222704405,0.9067931165300596
,"(1, 2)",Word2Vec,KNN,0.8477937661666699,0.8506152591996837,0.9142933118948208
,"(1, 2)",Word2Vec,SVM,0.4998514393663688,0.6661963829531946,0.850375805473789
MinMaxScaler,"(1, 2)",Word2Vec,LogisticRegression,0.883137045280607,0.8837122724328574,0.943550539939784
MinMaxScaler,"(1, 2)",Word2Vec,LightGBM,0.8238036935758697,0.8430130732588708,0.946014702971771
MinMaxScaler,"(1, 2)",Word2Vec,Catboost,0.8421301110747116,0.8569305457044273,0.9524998696648762
MinMaxScaler,"(1, 2)",Word2Vec,XGBoost,0.8305057224425653,0.8468121669688559,0.9426269869754864
MinMaxScaler,"(1, 2)",Word2Vec,AdaBoost,0.8179161163528914,0.8296309076333849,0.9075426486903602
MinMaxScaler,"(1, 2)",Word2Vec,KNN,0.8611989983649553,0.8597139263911588,0.9248305952069064
MinMaxScaler,"(1, 2)",Word2Vec,SVM,0.500296634965392,0.6663804856780947,0.8400137029930029
StandardScaler,"(1, 2)",Word2Vec,LogisticRegression,0.8836812140149997,0.8841674728811633,0.9435730902453286
StandardScaler,"(1, 2)",Word2Vec,LightGBM,0.8277607288362114,0.8457533736862126,0.9470833809166374
StandardScaler,"(1, 2)",Word2Vec,Catboost,0.8421301110747116,0.8569305457044273,0.9524998696648762
StandardScaler,"(1, 2)",Word2Vec,XGBoost,0.8305057224425653,0.8468121669688559,0.9426269869754864
StandardScaler,"(1, 2)",Word2Vec,AdaBoost,0.8179161163528914,0.8296309076333849,0.9075426486903602
StandardScaler,"(1, 2)",Word2Vec,KNN,0.8598634543869185,0.8517016599273377,0.928885457727962
StandardScaler,"(1, 2)",Word2Vec,SVM,0.5769431406983558,0.6994833104769914,0.8878829946121515
,"(1, 3)",Word2Vec,LogisticRegression,0.4992825885181804,0.6649325578736569,0.5502286195608366
,"(1, 3)",Word2Vec,LightGBM,0.5240400576943645,0.6746503067975664,0.8172064622274743
,"(1, 3)",Word2Vec,Catboost,0.5335120497804285,0.6791662076266677,0.8533152602673792
,"(1, 3)",Word2Vec,XGBoost,0.530494977923883,0.6748270334505372,0.7805565961359804
,"(1, 3)",Word2Vec,AdaBoost,0.4987879124684771,0.6648396328639405,0.5977424580920457
,"(1, 3)",Word2Vec,KNN,0.5656898952068405,0.6878583273194288,0.7270468430191256
,"(1, 3)",Word2Vec,SVM,0.4928271728112845,0.6592696891458356,0.5971314035512613
MinMaxScaler,"(1, 3)",Word2Vec,LogisticRegression,0.4993073226265158,0.6649210526119045,0.5460673532542433
MinMaxScaler,"(1, 3)",Word2Vec,LightGBM,0.517411867190898,0.671849075971416,0.5227458617361733
MinMaxScaler,"(1, 3)",Word2Vec,Catboost,0.5176591501627077,0.6722569188212673,0.4774585267440455
MinMaxScaler,"(1, 3)",Word2Vec,XGBoost,0.5166945749906693,0.6712537111654104,0.5093966305202751
MinMaxScaler,"(1, 3)",Word2Vec,AdaBoost,0.5001482119643657,0.6655299446212009,0.5501928826179536
MinMaxScaler,"(1, 3)",Word2Vec,KNN,0.5609163652232259,0.684652772592153,0.7079748440609913
MinMaxScaler,"(1, 3)",Word2Vec,SVM,0.4905270567197116,0.6567246602194562,0.5852027196698826
StandardScaler,"(1, 3)",Word2Vec,LogisticRegression,0.4993073226265158,0.664920803903388,0.5434719341420949
StandardScaler,"(1, 3)",Word2Vec,LightGBM,0.5166451128910031,0.6716409778921274,0.5049402985038928
StandardScaler,"(1, 3)",Word2Vec,Catboost,0.5176591501627077,0.6722569188212673,0.4774585267440455
StandardScaler,"(1, 3)",Word2Vec,XGBoost,0.5166945749906693,0.6712537111654104,0.5093966305202751
StandardScaler,"(1, 3)",Word2Vec,AdaBoost,0.5001482119643657,0.6655299446212009,0.5501928826179536
StandardScaler,"(1, 3)",Word2Vec,KNN,0.543702575818667,0.6747487016382145,0.6001350676196385
StandardScaler,"(1, 3)",Word2Vec,SVM,0.5050703454006442,0.6657766463780844,0.5591752387369046
