vector_sizes,epochs,w2v_type,accuracy,f1,recall,precision,roc_auc
100,5,cbow,0.8365650406883269,0.837560095630624,0.8428737321706008,0.8323240620143227,0.9000434748133538
100,10,cbow,0.846136678780273,0.846994152995595,0.8518884113893692,0.8421619070242358,0.9082741728251044
100,15,cbow,0.8490056915975692,0.850205495028509,0.857183067207964,0.843355303183776,0.911365462547536
100,20,cbow,0.8499949397078964,0.8507173214925544,0.8550441748433579,0.8464534486904641,0.9131052347562912
100,25,cbow,0.8514295210498517,0.8525055988503116,0.8587831967327257,0.8463223569296809,0.9142551535884744
100,30,cbow,0.8519735735611558,0.8529844186006702,0.859088746960109,0.8469693929343242,0.9150376517037302
100,35,cbow,0.8520972808048608,0.8529071552612377,0.8579238610514668,0.8479542853501073,0.9154304086887798
100,40,cbow,0.8526909085804173,0.8536352121712065,0.859382205162747,0.8479724839090123,0.916162647050764
100,45,cbow,0.8518004806803431,0.8527021941350259,0.8581128508650473,0.847362583096745,0.9157778324511672
100,50,cbow,0.853061929380955,0.853960185423999,0.8593491266712115,0.848642243172898,0.9161138339579632
200,5,cbow,0.8383457833238893,0.8394277503429379,0.8452874878658273,0.8336536364639805,0.902361465645986
200,10,cbow,0.8511327668028688,0.8520991208123012,0.8579074381365583,0.8463765180157674,0.9142903107128204
200,15,cbow,0.8556836408754277,0.8565884406430747,0.8622506120749274,0.8510163801937564,0.9178472013717492
200,20,cbow,0.8553373664172346,0.8563027790427856,0.862212781129853,0.8504841802436258,0.9191956213546538
200,25,cbow,0.8571675008069093,0.8580315933025876,0.8635189962865342,0.8526299924041545,0.9203611833030104
200,30,cbow,0.8571181457548247,0.8582088691692539,0.8649399025975708,0.8515969827016937,0.9202747159832304
200,35,cbow,0.8580332098911599,0.8588261146472403,0.8639627944799637,0.8537533851198417,0.9207931425484638
200,40,cbow,0.8572665626388465,0.8582756082494514,0.8646148273736314,0.8520385280778433,0.9208164101600638
200,45,cbow,0.8569202361861137,0.8577329626552872,0.8628879971030153,0.852642517793142,0.9210678018387796
200,50,cbow,0.856821363981321,0.8578377834829191,0.8641789592131379,0.8516063814735831,0.9206418077942102
300,5,cbow,0.837628552293707,0.83876696771088,0.8449325621069133,0.8327054054215528,0.9016761812475176
300,10,cbow,0.8521467887820618,0.8531280012487967,0.8590952880685307,0.847256017975947,0.9144452960444838
300,15,cbow,0.8562524244365649,0.8570619279090632,0.8621627984669008,0.852042478033872,0.9192656183547367
300,20,cbow,0.8593440717554008,0.8602126711113224,0.8657332320795895,0.8547687280187471,0.9218150486830646
300,25,cbow,0.86085276060879,0.861791375932658,0.8678101205626465,0.8558628204206589,0.922988396979283
300,30,cbow,0.8618667611784667,0.8628553264859384,0.8692444514469859,0.8565616716396471,0.92368376765202
300,35,cbow,0.8623862661500775,0.8633448567536945,0.8695442812771169,0.8572372731660461,0.9240726148740732
300,40,cbow,0.8597645913576327,0.860510317690083,0.8652811170567778,0.8557957154205524,0.9236313307678088
300,45,cbow,0.8622130570461761,0.862899282431148,0.8674054680910768,0.8584452008657376,0.9238250500505462
300,50,cbow,0.8605313884765602,0.8613281843833815,0.866338189624134,0.8563798131662717,0.9235364398043412
400,5,cbow,0.8380489617898551,0.8391686352986027,0.8451504539290742,0.8332752149762485,0.9016552701631084
400,10,cbow,0.8512564281690389,0.8521117927831154,0.857401276071308,0.8469071876597681,0.9146447888113516
400,15,cbow,0.8576621676811056,0.8584890344414392,0.8637547243884942,0.8533171286549521,0.9197765909367592
400,20,cbow,0.8597397226751949,0.8607315277992589,0.8670146232364324,0.8545461718794556,0.9222906211782148
400,25,cbow,0.8612979806758319,0.8623708363717851,0.8692047498306085,0.8556457641104321,0.924054594494862
400,30,cbow,0.8619657710158641,0.8629541705471141,0.8692558558568504,0.856747722441648,0.9252907542070063
400,35,cbow,0.8636971218973137,0.8647295443367711,0.871387281900615,0.858176458307768,0.9257964519802944
400,40,cbow,0.8632024244380941,0.8641023728788564,0.8699756254188422,0.858315257556115,0.9256077071868168
400,45,cbow,0.8642165014703291,0.8649657579432832,0.8698941624736969,0.8600988414265274,0.925955215646576
400,50,cbow,0.8628068255128397,0.8636624013946126,0.8692008118282611,0.8581997337970446,0.9259946508897876
500,5,cbow,0.8375295699828305,0.8385195534271984,0.8438083722546729,0.8332976521511728,0.9008565695562912
500,10,cbow,0.8518004959728547,0.8527911341703488,0.8587932001482057,0.8468863500754473,0.9149354871491168
500,15,cbow,0.8566729134537736,0.8574593995544664,0.8624134090910504,0.8525738661574099,0.919629900684086
500,20,cbow,0.8602591420087405,0.8610702842262283,0.8662685186816924,0.8559374150726511,0.922394842770576
500,25,cbow,0.8623120118305316,0.8630914137915429,0.8681515265901396,0.8581014902224762,0.9245067755159516
500,30,cbow,0.863078805890957,0.8638720154970315,0.8690673888359829,0.8587511392623026,0.925514336338769
500,35,cbow,0.8632519140642814,0.8642721347629033,0.8708443236690492,0.8578026471563899,0.9264565691638913
500,40,cbow,0.8654779471124389,0.8663129927733701,0.871875812332845,0.8608272260760298,0.9271874881516279
500,45,cbow,0.8652058566282379,0.865957209864777,0.870965860144921,0.8610089904506626,0.9275381862321636
500,50,cbow,0.8653048603486306,0.8660874115944251,0.8712260783621323,0.8610109036415057,0.9275747065958534
